"Reference","Value","Datasheet","Footprint","Qty","DNP"
"BZ1","Buzzer","~","Buzzer_Beeper:Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm","1",""
"C1,C2","2.2uF","~","Capacitor_THT:CP_Radial_D8.0mm_P2.50mm","2",""
"C3","10uF","~","Capacitor_THT:CP_Radial_D8.0mm_P2.50mm","1",""
"J1","Conn_01x02_Pin","~","Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Vertical","1",""
"J2","1724470206","","1724470206:MOLEX_1724470206","1",""
"J3,J4,J5,J6,J7,J8","Conn_01x01_Pin","~","-- mixed values --","6",""
"J9","Conn_01x03_Pin","~","","1",""
"R1","47K","~","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","1",""
"R2","500","~","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","1",""
"U1","NE555D","http://www.ti.com/lit/ds/symlink/ne555.pdf","555:P8","1",""
"U2","AVR128DB28x-xSP","https://ww1.microchip.com/downloads/en/DeviceDoc/AVR128DB28-32-48-64-DataSheet-DS40002247A.pdf","AVR28DB28-I/SP:SPDIP28_SP_MCH","1",""
